"Perioden";"Bevolking aan het begin van de periode (aantal)";"Levend geboren kinderen (aantal)";"Overledenen (aantal)";"Immigratie (aantal)";"Emigratie inclusief administratieve c... (aantal)";"Overige correcties (aantal)";"Totale bevolkingsgroei (aantal)";"Bevolking aan het eind van de periode (aantal)"
"1995 januari";15424122;16436;11974;8362;6768;;6056;15430178
"1995 februari";15430178;14824;10106;6621;5341;;5998;15436176
"1995 maart";15436176;16205;12069;7596;5988;;5744;15441920
"1995 april";15441920;14906;11412;6288;5490;;4292;15446212
"1995 mei";15446212;16167;11180;6672;5501;;6158;15452370
"1995 juni";15452370;16124;10508;7195;6335;;6476;15458846
"1995 juli";15458846;16698;11288;8628;9069;;4969;15463815
"1995 augustus";15463815;16491;10928;10334;8177;;7720;15471535
"1995 september";15471535;16222;10199;9083;7842;;7264;15478799
"1995 oktober";15478799;16508;11030;9211;7579;;7110;15485909
"1995 november";15485909;15199;11234;8868;7469;;5364;15491273
"1995 december";15491273;14733;13747;7241;6636;1025;2616;15493889
"1996 januari";15493889;15272;13912;9296;7267;;3389;15497278
"1996 februari";15497278;14972;12376;7617;7461;;2752;15500030
"1996 maart";15500030;15531;12264;8162;8363;;3066;15503096
"1996 april";15503096;15090;11675;7770;7684;;3501;15506597
"1996 mei";15506597;15901;11271;7955;7203;;5382;15511979
"1996 juni";15511979;15567;10672;7964;6957;;5902;15517881
"1996 juli";15517881;16561;10933;10402;8905;;7125;15525006
"1996 augustus";15525006;16680;10379;11502;8026;;9777;15534783
"1996 september";15534783;16430;10187;10967;9206;;8004;15542787
"1996 oktober";15542787;16412;10747;10690;7529;;8826;15551613
"1996 november";15551613;15508;10970;9084;6618;;7004;15558617
"1996 december";15558617;15597;12175;7340;6726;4454;8490;15567107
"1997 januari";15567107;16377;14200;9684;6962;;4899;15572006
"1997 februari";15572006;15053;11676;7656;6090;;4943;15576949
"1997 maart";15576949;15798;11258;7283;6468;;5355;15582304
"1997 april";15582304;16215;10872;8502;6881;;6964;15589268
"1997 mei";15589268;16483;11148;7393;5465;;7263;15596531
"1997 juni";15596531;16019;10690;8574;6702;;7201;15603732
"1997 juli";15603732;17211;10684;10345;8244;;8628;15612360
"1997 augustus";15612360;16406;11658;11915;8224;;8439;15620799
"1997 september";15620799;16552;10178;12145;7685;;10834;15631633
"1997 oktober";15631633;15975;10981;10336;7060;;8270;15639903
"1997 november";15639903;14774;10773;8200;5661;;6540;15646443
"1997 december";15646443;15580;11665;7827;6531;2538;7749;15654192
"1998 januari";15654192;16398;11359;10327;6028;;9338;15663530
"1998 februari";15663530;15179;10716;7953;5869;;6547;15670077
"1998 maart";15670077;16508;12928;9135;7039;;5676;15675753
"1998 april";15675753;16139;12317;8223;6556;;5489;15681242
"1998 mei";15681242;16337;11641;8073;5679;;7090;15688332
"1998 juni";15688332;16138;10459;9605;7874;;7410;15695742
"1998 juli";15695742;17805;10953;11427;9232;;9047;15704789
"1998 augustus";15704789;17543;10703;13245;6999;;13086;15717875
"1998 september";15717875;18137;10703;13584;7025;;13993;15731868
"1998 oktober";15731868;17222;11101;11350;5559;;11912;15743780
"1998 november";15743780;16008;11334;10082;5207;;9549;15753329
"1998 december";15753329;15994;13268;9403;6222;989;6896;15760225
"1999 januari";15760225;16218;13145;9330;5948;;6455;15766680
"1999 februari";15766680;15191;12334;8386;5209;;6034;15772714
"1999 maart";15772714;16818;13153;9767;6847;;6585;15779299
"1999 april";15779299;16880;11289;8019;5674;;7936;15787235
"1999 mei";15787235;16379;11374;7540;5113;;7432;15794667
"1999 juni";15794667;16941;10914;9082;6885;;8224;15802891
"1999 juli";15802891;17638;11299;11200;8137;;9402;15812293
"1999 augustus";15812293;17713;11284;13008;7402;;12035;15824328
"1999 september";15824328;17566;10694;13074;7425;;12521;15836849
"1999 oktober";15836849;16691;11077;10194;7093;;8715;15845564
"1999 november";15845564;15983;11104;10326;6742;;8463;15854027
"1999 december";15854027;16427;12820;9225;6304;3395;9923;15863950
"2000 januari";15863950;17068;14915;10035;6516;;5672;15869622
