"Sex";"Age";"Periods";"Labour force/Seasonally adjusted (x 1,000)";"Employed labour force/Seasonally adjusted (x 1,000)";"Unemployed labour force/Seasonally adjusted (x 1,000)";"Unemployment rate/Seasonally adjusted (%)";"Gross labour participation/Seasonally adjusted (%)";"Net labour participation/Seasonally adjusted (%)"
"Total sex";"15 to 74 years";"2003 January";8171;7823;348;4,3;67,5;64,7
"Total sex";"15 to 74 years";"2003 February";8176;7820;356;4,3;67,6;64,6
"Total sex";"15 to 74 years";"2003 March";8169;7801;368;4,5;67,5;64,5
"Total sex";"15 to 74 years";"2003 April";8175;7795;380;4,6;67,5;64,4
"Total sex";"15 to 74 years";"2003 May";8185;7797;388;4,7;67,6;64,4
"Total sex";"15 to 74 years";"2003 June";8176;7782;394;4,8;67,5;64,2
"Total sex";"15 to 74 years";"2003 July";8191;7788;403;4,9;67,6;64,3
"Total sex";"15 to 74 years";"2003 August";8197;7790;408;5;67,6;64,3
"Total sex";"15 to 74 years";"2003 September";8182;7769;413;5,1;67,5;64,1
"Total sex";"15 to 74 years";"2003 October";8194;7772;422;5,2;67,6;64,1
"Total sex";"15 to 74 years";"2003 November";8190;7761;430;5,2;67,5;64
"Total sex";"15 to 74 years";"2003 December";8183;7743;439;5,4;67,4;63,8
"Total sex";"15 to 74 years";"2004 January";8198;7755;443;5,4;67,5;63,9
"Total sex";"15 to 74 years";"2004 February";8202;7757;445;5,4;67,6;63,9
"Total sex";"15 to 74 years";"2004 March";8205;7750;455;5,5;67,6;63,8
"Total sex";"15 to 74 years";"2004 April";8228;7757;471;5,7;67,7;63,9
"Total sex";"15 to 74 years";"2004 May";8238;7761;476;5,8;67,8;63,9
"Total sex";"15 to 74 years";"2004 June";8231;7754;478;5,8;67,7;63,8
"Total sex";"15 to 74 years";"2004 July";8242;7775;467;5,7;67,8;64
"Total sex";"15 to 74 years";"2004 August";8221;7758;464;5,6;67,6;63,8
"Total sex";"15 to 74 years";"2004 September";8219;7754;465;5,7;67,6;63,8
"Total sex";"15 to 74 years";"2004 October";8237;7765;472;5,7;67,7;63,8
"Total sex";"15 to 74 years";"2004 November";8241;7768;473;5,7;67,7;63,8
