"Gebruiksfunctie";"Perioden";"Regio's";"Beginstand voorraad (aantal)";"Nieuwbouw (aantal)";"Overige toevoeging (aantal)";"Sloop (aantal)";"Overige onttrekking (aantal)";"Correctie (aantal)";"Saldo voorraad (aantal)";"Eindstand voorraad (aantal)"
"Woning";"2012 januari";"Nederland";7386743;1690;8014;2062;3415;1742;5969;7392712
"Woning";"2012 februari";"Nederland";7392712;3009;3383;982;5328;1872;1954;7394667
"Woning";"2012 maart";"Nederland";7394667;2996;6037;796;1574;688;7351;7402019
"Woning";"2012 april";"Nederland";7402019;3479;2663;877;1288;1215;5192;7407212
"Woning";"2012 mei";"Nederland";7407212;3811;3477;751;1587;406;5356;7412569
"Woning";"2012 juni";"Nederland";7412569;3493;2499;1372;1111;326;3835;7416419
"Woning";"2012 juli";"Nederland";7416419;4998;2345;1433;1255;1746;6401;7422820
"Woning";"2012 augustus";"Nederland";7422820;3679;2761;835;1056;654;5203;7428024
"Woning";"2012 september";"Nederland";7428024;3544;2833;904;905;646;5214;7433239
"Woning";"2012 oktober";"Nederland";7433239;4556;3522;1537;1339;1346;6548;7439787
"Woning";"2012 november";"Nederland";7439787;6114;2751;1281;5349;-15;2220;7442007
"Woning";"2012 december";"Nederland";7442007;7299;1908;823;2071;978;7291;7449298
"Woning";"2013 januari";"Nederland";7449298;3376;3263;1153;1071;401;4816;7454113
"Woning";"2013 februari";"Nederland";7454113;3214;1870;1358;1353;125;2498;7456611
"Woning";"2013 maart";"Nederland";7456611;3161;2623;1120;1813;637;3488;7460099
"Woning";"2013 april";"Nederland";7460099;4359;3165;1240;1812;589;5061;7465161
"Woning";"2013 mei";"Nederland";7465161;3824;5115;866;2625;315;5763;7470924
"Woning";"2013 juni";"Nederland";7470924;4106;14003;1184;1236;430;16119;7487044
"Woning";"2013 juli";"Nederland";7487044;3624;9229;1018;1314;138;10659;7497703
"Woning";"2013 augustus";"Nederland";7497703;3489;5767;636;889;161;7892;7505595
"Woning";"2013 september";"Nederland";7505595;4016;5691;862;1077;326;8094;7513689
"Woning";"2013 oktober";"Nederland";7513689;5061;4772;1244;1961;230;6858;7520548
"Woning";"2013 november";"Nederland";7520548;4862;3517;1048;1070;366;6627;7527176
"Woning";"2013 december";"Nederland";7527176;6219;4822;1174;2206;478;8139;7535315
"Woning";"2014 januari";"Nederland";7535315;3723;2960;1027;1345;312;4623;7539939
"Woning";"2014 februari";"Nederland";7539939;3093;2732;926;1420;-114;3365;7543305
"Woning";"2014 maart";"Nederland";7543305;3527;2464;473;1322;55;4251;7547556
"Woning";"2014 april";"Nederland";7547556;3580;2579;1188;2257;103;2817;7550373
"Woning";"2014 mei";"Nederland";7550372;3359;2263;621;1271;-45;3685;7554060
