Instrument,InstrumentSub,Sector,Periode ,waarde
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-01,99781
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-02,100626
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-03,101797
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-04,102388
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-05,103457
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-06,104652
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-07,105691
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-08,106845
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-09,108050
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-10,109278
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-11,110665
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1995-12,112184
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-01,113478
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-02,114935
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-03,116271
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-04,117773
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-05,119554
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-06,121003
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-07,122877
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-08,124578
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-09,126117
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-10,128004
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-11,129899
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1996-12,132383
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-01,134040
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-02,135941
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-03,138025
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-04,140400
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-05,142497
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-06,144949
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-07,147413
