Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=124.MIR.M.NL.B.A2I.AM.R.A.2240.EUR.N,,,
,MIR.M.NL.B.A2I.AM.R.A.2240.EUR.N,,
,"Netherlands, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans (defined for cost of borrowing purposes, sum of A2A and A2Z (both related to non-financial corporations)), Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",,
Collection:,Average of observations through period (A),,
Period\Unit:,[Percent per annum ],,
,,obs. status,obs. comment
2021Aug,0.85,Normal value (A),
2021Jul,0.98,Normal value (A),
2021Jun,1.01,Normal value (A),
2021May,0.99,Normal value (A),
2021Apr,1.09,Normal value (A),
2021Mar,0.71,Normal value (A),
2021Feb,1.1,Normal value (A),
2021Jan,1.22,Normal value (A),
2020Dec,1.31,Normal value (A),
2020Nov,1.1,Normal value (A),
2020Oct,1.23,Normal value (A),
2020Sep,1,Normal value (A),
2020Aug,1.06,Normal value (A),
2020Jul,1,Normal value (A),
2020Jun,1.07,Normal value (A),
2020May,1.12,Normal value (A),
2020Apr,1.09,Normal value (A),
2020Mar,1.03,Normal value (A),
2020Feb,1.11,Normal value (A),
2020Jan,1.07,Normal value (A),
2019Dec,1.21,Normal value (A),
2019Nov,1.05,Normal value (A),
2019Oct,1.07,Normal value (A),
2019Sep,1.15,Normal value (A),
2019Aug,1.07,Normal value (A),
2019Jul,1.14,Normal value (A),
2019Jun,1.17,Normal value (A),
2019May,1.24,Normal value (A),
2019Apr,1.21,Normal value (A),
2019Mar,1.21,Normal value (A),
2019Feb,1.26,Normal value (A),
2019Jan,1.34,Normal value (A),
2018Dec,1.31,Normal value (A),
2018Nov,1.3,Normal value (A),
2018Oct,1.27,Normal value (A),
2018Sep,1.17,Normal value (A),
2018Aug,1.34,Normal value (A),
2018Jul,1.39,Normal value (A),
2018Jun,1.3,Normal value (A),
2018May,1.33,Normal value (A),
2018Apr,1.35,Normal value (A),
2018Mar,1.36,Normal value (A),
2018Feb,1.31,Normal value (A),
2018Jan,1.43,Normal value (A),
2017Dec,1.43,Normal value (A),
2017Nov,1.42,Normal value (A),
2017Oct,1.43,Normal value (A),
2017Sep,1.4,Normal value (A),
2017Aug,1.44,Normal value (A),
2017Jul,1.54,Normal value (A),
2017Jun,1.42,Normal value (A),
2017May,1.56,Normal value (A),
2017Apr,1.52,Normal value (A),
2017Mar,1.52,Normal value (A),
2017Feb,1.45,Normal value (A),
2017Jan,1.53,Normal value (A),
2016Dec,1.52,Normal value (A),
2016Nov,1.38,Normal value (A),
2016Oct,1.45,Normal value (A),
2016Sep,1.45,Normal value (A),
2016Aug,1.5,Normal value (A),
2016Jul,1.47,Normal value (A),
2016Jun,1.52,Normal value (A),
2016May,1.49,Normal value (A),
2016Apr,1.53,Normal value (A),
2016Mar,1.6,Normal value (A),
2016Feb,1.56,Normal value (A),
2016Jan,1.82,Normal value (A),
2015Dec,1.69,Normal value (A),
2015Nov,1.75,Normal value (A),
2015Oct,1.84,Normal value (A),
2015Sep,1.79,Normal value (A),
2015Aug,1.8,Normal value (A),
2015Jul,1.9,Normal value (A),
2015Jun,1.8,Normal value (A),
2015May,1.93,Normal value (A),
2015Apr,1.96,Normal value (A),
2015Mar,2,Normal value (A),
2015Feb,1.92,Normal value (A),
2015Jan,2.02,Normal value (A),
2014Dec,1.77,Normal value (A),
2014Nov,2.05,Normal value (A),
2014Oct,2.21,Normal value (A),
2014Sep,2.25,Normal value (A),
2014Aug,2.3,Normal value (A),
2014Jul,2.38,Normal value (A),
2014Jun,2.48,Normal value (A),
2014May,2.43,Normal value (A),
2014Apr,2.46,Normal value (A),
2014Mar,2.51,Normal value (A),
2014Feb,2.4,Normal value (A),
2014Jan,2.52,Normal value (A),
2013Dec,2.48,Normal value (A),
2013Nov,2.35,Normal value (A),
2013Oct,2.38,Normal value (A),
2013Sep,2.47,Normal value (A),
2013Aug,2.37,Normal value (A),
2013Jul,2.38,Normal value (A),
2013Jun,2.39,Normal value (A),
2013May,2.3,Normal value (A),
2013Apr,2.35,Normal value (A),
2013Mar,2.23,Normal value (A),
2013Feb,2.36,Normal value (A),
2013Jan,2.21,Normal value (A),
2012Dec,2.39,Normal value (A),
2012Nov,2.24,Normal value (A),
2012Oct,2.43,Normal value (A),
2012Sep,2.21,Normal value (A),
2012Aug,2.3,Normal value (A),
2012Jul,2.49,Normal value (A),
2012Jun,2.63,Normal value (A),
