period,ECB_AAR_rate_annual_percentage_households_NL
2021Aug,1.66
2021Jul,1.68
2021Jun,1.68
2021May,1.7
2021Apr,1.71
2021Mar,1.75
2021Feb,1.76
2021Jan,1.79
2020Dec,1.84
2020Nov,1.85
2020Oct,1.87
2020Sep,1.88
2020Aug,1.89
2020Jul,1.86
2020Jun,1.86
2020May,1.88
2020Apr,1.87
2020Mar,1.91
2020Feb,1.92
2020Jan,1.98
2019Dec,2
2019Nov,2.39
2019Oct,2.09
2019Sep,2.16
2019Aug,2.21
2019Jul,2.25
2019Jun,2.3
2019May,2.33
2019Apr,2.37
2019Mar,2.43
2019Feb,2.44
2019Jan,2.41
2018Dec,2.41
2018Nov,2.43
2018Oct,2.42
2018Sep,2.41
2018Aug,2.41
2018Jul,2.43
2018Jun,2.46
2018May,2.41
2018Apr,2.4
2018Mar,2.4
2018Feb,2.4
2018Jan,2.38
2017Dec,2.41
2017Nov,2.43
2017Oct,2.41
2017Sep,2.42
2017Aug,2.42
2017Jul,2.44
2017Jun,2.42
2017May,2.43
2017Apr,2.42
2017Mar,2.4
2017Feb,2.38
2017Jan,2.35
2016Dec,2.38
2016Nov,2.4
2016Oct,2.4
2016Sep,2.49
2016Aug,2.55
2016Jul,2.58
2016Jun,2.59
2016May,2.64
2016Apr,2.69
2016Mar,2.69
2016Feb,2.76
2016Jan,2.79
2015Dec,2.76
2015Nov,2.83
2015Oct,2.82
2015Sep,2.86
2015Aug,2.87
2015Jul,2.86
2015Jun,2.88
2015May,2.88
2015Apr,2.95
2015Mar,2.98
2015Feb,3.13
2015Jan,3.11
2014Dec,3.11
2014Nov,3.14
2014Oct,3.22
2014Sep,3.25
2014Aug,3.31
2014Jul,3.33
2014Jun,3.35
2014May,3.43
2014Apr,3.5
2014Mar,3.49
2014Feb,3.51
2014Jan,3.59
2013Dec,3.62
2013Nov,3.61
2013Oct,3.62
2013Sep,3.65
2013Aug,3.67
2013Jul,3.7
2013Jun,3.72
2013May,3.79
2013Apr,3.94
2013Mar,4.01
2013Feb,4.03
2013Jan,4.06
2012Dec,4.07
2012Nov,4.07
2012Oct,4.14
2012Sep,4.19
2012Aug,4.21
2012Jul,4.22
2012Jun,4.31
2012May,4.35
2012Apr,4.4
2012Mar,4.44
2012Feb,4.51
2012Jan,4.53
2011Dec,4.54
2011Nov,4.53
2011Oct,4.54
2011Sep,4.62
2011Aug,4.69
2011Jul,4.71
2011Jun,4.68
2011May,4.65
2011Apr,4.58
2011Mar,4.46
2011Feb,4.35
2011Jan,4.33
2010Dec,4.29
2010Nov,4.28
2010Oct,4.31
2010Sep,4.36
2010Aug,4.45
2010Jul,4.48
2010Jun,4.51
2010May,4.59
2010Apr,4.67
2010Mar,4.72
2010Feb,4.78
2010Jan,4.85
2009Dec,4.87
2009Nov,4.89
2009Oct,4.91
2009Sep,4.92
2009Aug,4.99
2009Jul,4.96
2009Jun,4.89
2009May,4.85
2009Apr,4.87
2009Mar,4.94
2009Feb,5.11
2009Jan,5.27
2008Dec,5.45
2008Nov,5.6
2008Oct,5.63
2008Sep,5.56
2008Aug,5.52
2008Jul,5.38
2008Jun,5.27
2008May,5.16
2008Apr,5.12
2008Mar,5.13
2008Feb,5.2
2008Jan,5.24
2007Dec,5.23
2007Nov,5.21
2007Oct,5.21
2007Sep,5.18
2007Aug,5.11
2007Jul,5.01
2007Jun,4.93
2007May,4.85
2007Apr,4.8
2007Mar,4.74
2007Feb,4.7
2007Jan,4.65
2006Dec,4.61
2006Nov,4.61
2006Oct,4.58
2006Sep,4.59
2006Aug,4.53
2006Jul,4.45
2006Jun,4.36
2006May,4.25
2006Apr,4.21
2006Mar,4.05
2006Feb,3.94
2006Jan,3.87
2005Dec,3.78
2005Nov,3.68
2005Oct,3.7
2005Sep,3.68
2005Aug,3.73
2005Jul,3.71
2005Jun,3.78
2005May,3.9
2005Apr,3.91
2005Mar,3.89
2005Feb,3.87
2005Jan,3.88
2004Dec,3.92
2004Nov,4.09
2004Oct,4.26
2004Sep,4.3
2004Aug,4.34
2004Jul,4.3
2004Jun,4.27
2004May,4.29
2004Apr,4.28
2004Mar,4.4
2004Feb,4.52
2004Jan,4.52
2003Dec,4.51
2003Nov,4.49
2003Oct,4.42
2003Sep,4.33
2003Aug,4.23
2003Jul,4.22
2003Jun,4.31
2003May,4.51
2003Apr,4.52
2003Mar,4.54
2003Feb,4.69
2003Jan,4.84
