period,ECB_growt_rate_new_loans_to_households_non_financials
2021Aug,0.7178
2021Jul,0.1461
2021Jun,-0.0763
2021May,-0.029
2021Apr,2.5145
2021Mar,3.7819
2021Feb,2.7373
2021Jan,3.5224
2020Dec,5.9155
2020Nov,7.9402
2020Oct,10.9099
2020Sep,11.3795
2020Aug,11.384
2020Jul,10.6015
2020Jun,10.4524
2020May,8.1208
2020Apr,6.293
2020Mar,5.1214
2020Feb,1.5372
2020Jan,0.6207
2019Dec,-1.6251
2019Nov,-2.9796
2019Oct,-3.9803
2019Sep,-3.1625
2019Aug,-2.9226
2019Jul,-1.9097
2019Jun,-1.5082
2019May,-0.0607
2019Apr,-0.1963
2019Mar,0.0712
2019Feb,0.3859
2019Jan,-0.6761
2018Dec,-0.8971
2018Nov,-3.235
2018Oct,-3.8276
2018Sep,-4.7491
2018Aug,-5.2213
2018Jul,-5.4681
2018Jun,-5.8816
2018May,-5.4255
2018Apr,-4.6849
2018Mar,-5.1999
2018Feb,-3.73
2018Jan,-2.2205
2017Dec,-0.1024
2017Nov,4.0901
2017Oct,5.3415
2017Sep,4.8282
2017Aug,3.7712
2017Jul,2.7688
2017Jun,0.8828
2017May,-0.5839
2017Apr,-1.3032
2017Mar,-2.0293
2017Feb,-4.1826
2017Jan,-3.4142
2016Dec,-3.8166
2016Nov,-4.5834
2016Oct,-2.3971
2016Sep,2.4295
2016Aug,8.5608
2016Jul,13.5048
2016Jun,21.5919
2016May,29.6841
2016Apr,34.7256
2016Mar,43.2101
2016Feb,54.5164
2016Jan,55.6545
2015Dec,61.2392
2015Nov,68.2459
2015Oct,60.9697
2015Sep,54.1231
2015Aug,47.8854
2015Jul,43.1596
2015Jun,36.4933
2015May,29.3962
2015Apr,25.4049
2015Mar,18.718
2015Feb,10.4675
2015Jan,8.4025
2014Dec,3.5471
2014Nov,-1.532
2014Oct,-0.1189
2014Sep,0.0603
2014Aug,-0.8355
2014Jul,-2.1798
2014Jun,-2.9437
2014May,-5.3677
2014Apr,-7.2749
2014Mar,-7.1773
2014Feb,-7.2654
2014Jan,-9.4395
2013Dec,-9.1124
2013Nov,-10.5457
2013Oct,-11.9328
2013Sep,-12.7432
2013Aug,-14.8003
2013Jul,-15.6093
2013Jun,-17.5353
2013May,-16.1424
2013Apr,-15.8612
2013Mar,-17.1278
2013Feb,-17.6213
2013Jan,-16.1002
2012Dec,-17.448
2012Nov,-17.9951
2012Oct,-16.8103
2012Sep,-16.3583
2012Aug,-13.5451
2012Jul,-11.1912
2012Jun,-7.0857
2012May,-6.1895
2012Apr,-4.3374
2012Mar,-1.9205
2012Feb,0.1471
2012Jan,0.9186
2011Dec,4.0819
2011Nov,7.7064
2011Oct,8.1077
2011Sep,9.5707
2011Aug,8.1635
2011Jul,6.6743
2011Jun,3.2148
2011May,1.4514
2011Apr,0.0534
2011Mar,-2.0436
2011Feb,-3.9485
2011Jan,-6.0577
2010Dec,-9.1907
2010Nov,-12.6423
2010Oct,-14.6265
2010Sep,-18.9288
2010Aug,-20.5731
2010Jul,-22.0907
2010Jun,-23.2446
2010May,-23.9281
2010Apr,-24.56
2010Mar,-24.9531
2010Feb,-24.9918
2010Jan,-23.8397
2009Dec,-22.718
2009Nov,-20.3426
2009Oct,-18.5983
2009Sep,-13.6886
2009Aug,-9.8375
2009Jul,-7.038
2009Jun,-1.8361
2009May,1.4041
2009Apr,3.7705
2009Mar,7.7126
2009Feb,10.2259
2009Jan,11.129
2008Dec,11.754
2008Nov,11.5432
2008Oct,10.6316
2008Sep,8.9166
2008Aug,6.9398
2008Jul,6.768
2008Jun,5.0109
2008May,4.4405
2008Apr,3.1482
2008Mar,0.5833
2008Feb,-0.8848
2008Jan,-2.2234
2007Dec,-3.3509
2007Nov,-5.6766
2007Oct,-5.5048
2007Sep,-4.8164
2007Aug,-4.3066
2007Jul,-4.0407
2007Jun,-4.1641
2007May,-3.5844
2007Apr,-1.6269
2007Mar,0.2372
2007Feb,2.7927
2007Jan,5.668
2006Dec,9.4901
2006Nov,15.119
2006Oct,18.2089
2006Sep,18.8743
2006Aug,20.1288
2006Jul,20.7276
2006Jun,19.8303
2006May,19.0735
2006Apr,18.7863
2006Mar,19.0405
2006Feb,18.3675
2006Jan,16.493
2005Dec,15.7063
2005Nov,14.2473
2005Oct,12.7501
2005Sep,11.0179
2005Aug,10.0223
2005Jul,9.1549
2005Jun,10.8025
2005May,12.567
2005Apr,10.491
2005Mar,8.5455
2005Feb,7.1081
2005Jan,6.8324
2004Dec,4.3689
