period,ECB_HCIP_NL
2021Sep,110.32
2021Aug,110.54
2021Jul,109.96
2021Jun,109.27
2021May,109.11
2021Apr,108.95
2021Mar,108.09
2021Feb,107.76
2021Jan,106.51
2020Dec,107.22
2020Nov,106.72
2020Oct,108.05
2020Sep,107.19
2020Aug,107.65
2020Jul,108.42
2020Jun,107.45
2020May,106.94
2020Apr,107.14
2020Mar,106.09
2020Feb,105.77
2020Jan,104.85
2019Dec,106.24
2019Nov,106.01
2019Oct,106.82
2019Sep,106.16
2019Aug,107.32
2019Jul,106.67
2019Jun,105.67
2019May,105.82
2019Apr,106.11
2019Mar,104.98
2019Feb,104.44
2019Jan,103.13
2018Dec,103.35
2018Nov,103.37
2018Oct,103.89
2018Sep,103.36
2018Aug,104.09
2018Jul,103.96
2018Jun,102.85
2018May,103.41
2018Apr,102.99
2018Mar,102.06
2018Feb,101.84
2018Jan,101.12
2017Dec,101.49
2017Nov,101.57
2017Oct,101.97
2017Sep,101.75
2017Aug,102.18
2017Jul,102
2017Jun,101.17
2017May,101.49
2017Apr,101.94
2017Mar,101.03
2017Feb,100.58
2017Jan,99.64
2016Dec,100.27
2016Nov,100.02
2016Oct,100.67
2016Sep,100.31
2016Aug,100.67
2016Jul,100.5
2016Jun,100.2
2016May,100.75
2016Apr,100.51
2016Mar,100.4
2016Feb,98.94
2016Jan,98.03
2015Dec,99.53
2015Nov,99.64
2015Oct,100.4
2015Sep,100.4
2015Aug,100.58
2015Jul,101.07
2015Jun,100.4
2015May,100.97
2015Apr,100.71
2015Mar,99.88
2015Feb,98.62
2015Jan,97.82
2014Dec,99.04
2014Nov,99.27
2014Oct,100
2014Sep,100.12
2014Aug,100.14
2014Jul,100.26
2014Jun,99.92
2014May,100.28
2014Apr,100.74
2014Mar,100.16
2014Feb,99.07
2014Jan,98.48
2013Dec,99.1
2013Nov,99.02
2013Oct,99.61
2013Sep,99.86
2013Aug,99.78
2013Jul,100
2013Jun,99.65
2013May,100.14
2013Apr,100.1
2013Mar,100.02
2013Feb,98.7
2013Jan,97.7
2012Dec,97.73
2012Nov,97.85
2012Oct,98.33
2012Sep,97.54
2012Aug,97.07
2012Jul,97
2012Jun,96.59
2012May,97.17
2012Apr,97.39
2012Mar,96.93
2012Feb,95.6
2012Jan,94.66
2011Dec,94.54
2011Nov,94.84
2011Oct,95.22
2011Sep,95.12
2011Aug,94.65
2011Jul,94.54
2011Jun,94.23
2011May,94.84
2011Apr,94.77
2011Mar,94.2
2011Feb,92.93
2011Jan,92.01
2010Dec,92.23
2010Nov,92.47
2010Oct,92.61
2010Sep,92.39
2010Aug,91.7
2010Jul,91.57
2010Jun,92.11
2010May,92.72
2010Apr,92.81
2010Mar,92.49
2010Feb,91.15
2010Jan,90.3
2009Dec,90.56
2009Nov,91.21
2009Oct,91.35
2009Sep,91.11
2009Aug,90.61
2009Jul,90.43
2009Jun,91.9
2009May,92.31
2009Apr,92.21
2009Mar,91.89
2009Feb,90.83
2009Jan,89.95
2008Dec,89.91
2008Nov,90.61
2008Oct,90.98
2008Sep,91.13
2008Aug,90.67
2008Jul,90.55
2008Jun,90.66
2008May,90.92
2008Apr,90.55
2008Mar,90.23
2008Feb,89.17
2008Jan,88.42
2007Dec,88.45
2007Nov,88.93
2007Oct,88.79
2007Sep,88.66
2007Aug,88.05
2007Jul,87.94
2007Jun,88.61
2007May,89.07
2007Apr,89.04
2007Mar,88.55
2007Feb,87.42
2007Jan,86.86
2006Dec,87.07
2006Nov,87.37
2006Oct,87.39
2006Sep,87.54
2006Aug,87.12
2006Jul,86.71
2006Jun,87.01
2006May,87.3
2006Apr,87.34
2006Mar,86.93
2006Feb,86.24
2006Jan,85.81
2005Dec,85.6
2005Nov,85.99
2005Oct,86.22
2005Sep,86.23
2005Aug,85.52
2005Jul,85.2
2005Jun,85.48
2005May,85.76
2005Apr,85.83
2005Mar,85.73
2005Feb,84.99
2005Jan,84.34
2004Dec,83.92
2004Nov,84.62
2004Oct,84.93
2004Sep,84.83
2004Aug,84.12
2004Jul,83.97
2004Jun,84.27
2004May,84.88
2004Apr,84.74
2004Mar,84.45
2004Feb,83.77
2004Jan,83.29
2003Dec,82.87
2003Nov,83.39
2003Oct,83.67
2003Sep,83.85
2003Aug,83.16
2003Jul,82.95
2003Jun,83.04
2003May,83.43
2003Apr,83.48
2003Mar,83.4
2003Feb,82.65
2003Jan,82.07
2002Dec,81.58
2002Nov,81.72
2002Oct,82.09
2002Sep,82.17
2002Aug,81.38
2002Jul,81.22
2002Jun,81.31
2002May,81.6
2002Apr,81.68
2002Mar,81.17
2002Feb,80.32
2002Jan,79.91
2001Dec,79.04
2001Nov,79.14
2001Oct,79.36
2001Sep,79.33
2001Aug,78.51
2001Jul,78.29
2001Jun,78.34
2001May,78.63
2001Apr,78.37
2001Mar,77.77
2001Feb,76.89
2001Jan,76.21
2000Dec,75.17
2000Nov,75.51
2000Oct,75.58
2000Sep,75.31
2000Aug,74.62
2000Jul,74.34
2000Jun,74.55
2000May,74.55
2000Apr,74.34
2000Mar,74.07
2000Feb,73.24
2000Jan,72.83
1999Dec,73.04
1999Nov,73.38
1999Oct,73.24
1999Sep,73.17
1999Aug,72.83
1999Jul,72.35
1999Jun,72.76
1999May,73.11
1999Apr,73.11
1999Mar,72.9
1999Feb,72.14
1999Jan,71.66
1998Dec,71.66
1998Nov,71.94
1998Oct,71.94
1998Sep,71.73
1998Aug,71.04
1998Jul,71.04
1998Jun,71.25
1998May,71.59
1998Apr,71.73
1998Mar,71.45
1998Feb,70.7
1998Jan,70.21
1997Dec,70.63
1997Nov,70.9
1997Oct,70.9
1997Sep,70.83
1997Aug,70.08
1997Jul,69.8
1997Jun,69.73
1997May,70.15
1997Apr,70.01
1997Mar,69.94
1997Feb,69.25
1997Jan,69.11
1996Dec,69.11
1996Nov,69.18
1996Oct,69.32
1996Sep,69.11
1996Aug,68.36
1996Jul,68.49
1996Jun,68.7
1996May,69.04
1996Apr,69.32
1996Mar,69.11
1996Feb,68.29
1996Jan,67.94
