period,FRED_ten_year_long_term_bond_yield 
01/01/1960,4.56
01/02/1960,4.6
01/03/1960,4.51
01/04/1960,4.49
01/05/1960,4.56
01/06/1960,4.49
01/07/1960,4.39
01/08/1960,4.4
01/09/1960,4.41
01/10/1960,4.35
01/11/1960,4.36
01/12/1960,4.34
01/01/1961,4.34
01/02/1961,4.3
01/03/1961,4.26
01/04/1961,4.12
01/05/1961,4.05
01/06/1961,4.09
01/07/1961,4.14
01/08/1961,4.23
01/09/1961,4.15
01/10/1961,4.14
01/11/1961,4.18
01/12/1961,4.15
01/01/1962,4.08
01/02/1962,4.02
01/03/1962,4.15
01/04/1962,4.22
01/05/1962,4.29
01/06/1962,4.45
01/07/1962,4.44
01/08/1962,4.26
01/09/1962,4.2
01/10/1962,4.25
01/11/1962,4.26
01/12/1962,4.21
01/01/1963,4.22
01/02/1963,4.25
01/03/1963,4.2
01/04/1963,4.16
01/05/1963,4.2
01/06/1963,4.25
01/07/1963,4.27
01/08/1963,4.23
01/09/1963,4.23
01/10/1963,4.41
01/11/1963,4.59
01/12/1963,4.7
01/01/1964,4.83
01/02/1964,4.82
01/03/1964,4.88
01/04/1964,4.9
01/05/1964,4.93
01/06/1964,5.01
01/07/1964,5.32
01/08/1964,5.38
01/09/1964,5.13
01/10/1964,5.2
01/11/1964,5.32
01/12/1964,5.35
01/01/1965,5.16
01/02/1965,5.07
01/03/1965,5.12
01/04/1965,5.21
01/05/1965,5.39
01/06/1965,5.48
01/07/1965,5.64
01/08/1965,5.56
01/09/1965,5.54
01/10/1965,5.76
01/11/1965,5.99
01/12/1965,6.09
01/01/1966,6.17
01/02/1966,6.31
01/03/1966,6.44
01/04/1966,6.5
01/05/1966,6.77
01/06/1966,6.73
01/07/1966,6.59
01/08/1966,6.79
01/09/1966,6.65
01/10/1966,6.65
01/11/1966,6.73
01/12/1966,6.67
01/01/1967,6.45
01/02/1967,6.53
01/03/1967,6.42
01/04/1967,6.33
01/05/1967,6.38
01/06/1967,6.49
01/07/1967,6.44
01/08/1967,6.41
01/09/1967,6.38
01/10/1967,6.38
01/11/1967,6.49
01/12/1967,6.39
01/01/1968,6.44
01/02/1968,6.48
01/03/1968,6.51
01/04/1968,6.45
01/05/1968,6.47
01/06/1968,6.53
01/07/1968,6.59
01/08/1968,6.58
01/09/1968,6.51
01/10/1968,6.52
01/11/1968,6.55
01/12/1968,6.6
01/01/1969,6.72
01/02/1969,6.93
01/03/1969,7.09
01/04/1969,7.27
01/05/1969,7.28
01/06/1969,7.53
01/07/1969,7.64
01/08/1969,7.7
01/09/1969,7.92
01/10/1969,7.94
01/11/1969,7.76
01/12/1969,7.9
01/01/1970,7.93
01/02/1970,8.01
01/03/1970,8.03
01/04/1970,8.06
01/05/1970,8.15
01/06/1970,8.17
01/07/1970,8.02
01/08/1970,8.01
01/09/1970,8.02
01/10/1970,8.01
01/11/1970,7.95
01/12/1970,7.77
01/01/1971,7.55
01/02/1971,7.57
01/03/1971,7.56
01/04/1971,7.38
01/05/1971,7.55
01/06/1971,7.56
01/07/1971,7.61
01/08/1971,7.59
01/09/1971,7.85
01/10/1971,7.74
01/11/1971,7.76
01/12/1971,7.79
01/01/1972,7.52
01/02/1972,7.32
01/03/1972,7.26
01/04/1972,7.36
01/05/1972,7.51
01/06/1972,7.56
01/07/1972,7.47
01/08/1972,7.23
01/09/1972,7.05
01/10/1972,7.15
01/11/1972,7.32
01/12/1972,7.5
01/01/1973,7.46
01/02/1973,7.4
01/03/1973,7.28
01/04/1973,7.41
01/05/1973,7.45
01/06/1973,7.8
01/07/1973,8
01/08/1973,8.44
01/09/1973,8.42
01/10/1973,8.24
01/11/1973,8.09
01/12/1973,9.01
01/01/1974,9.26
01/02/1974,9.35
01/03/1974,9.34
01/04/1974,9.77
01/05/1974,10.22
01/06/1974,10.15
01/07/1974,10.44
01/08/1974,10.45
01/09/1974,10.43
01/10/1974,10.25
01/11/1974,9.14
01/12/1974,9.09
01/01/1975,8.95
01/02/1975,8.8
01/03/1975,8.82
01/04/1975,8.89
01/05/1975,8.54
01/06/1975,8.33
01/07/1975,8.75
01/08/1975,8.94
01/09/1975,8.97
01/10/1975,8.97
01/11/1975,8.87
01/12/1975,8.61
01/01/1976,8.47
01/02/1976,8.25
01/03/1976,8.32
01/04/1976,8.4
01/05/1976,8.69
01/06/1976,9.34
01/07/1976,9.63
01/08/1976,10.03
01/09/1976,9.8
01/10/1976,9.32
01/11/1976,8.78
01/12/1976,8.4
01/01/1977,8.4
01/02/1977,8.38
01/03/1977,8.29
01/04/1977,8.11
01/05/1977,8.12
01/06/1977,8.17
01/07/1977,7.93
01/08/1977,7.7
01/09/1977,7.83
01/10/1977,8.03
01/11/1977,8.14
01/12/1977,8.11
01/01/1978,7.73
01/02/1978,7.54
01/03/1978,7.46
01/04/1978,7.27
01/05/1978,7.4
01/06/1978,7.35
01/07/1978,7.7
01/08/1978,7.78
01/09/1978,7.78
01/10/1978,8.28
01/11/1978,8.06
01/12/1978,8.48
01/01/1979,8.27
01/02/1979,8.37
01/03/1979,8.52
01/04/1979,8.58
01/05/1979,8.77
01/06/1979,9.01
01/07/1979,8.98
01/08/1979,8.73
01/09/1979,8.77
01/10/1979,8.83
01/11/1979,9.18
01/12/1979,9.29
01/01/1980,9.41
01/02/1980,10.37
01/03/1980,11.45
01/04/1980,10.59
01/05/1980,9.97
01/06/1980,9.99
01/07/1980,9.66
01/08/1980,9.67
01/09/1980,10.25
01/10/1980,10.2
01/11/1980,10.46
01/12/1980,10.48
01/01/1981,10.43
01/02/1981,10.96
01/03/1981,11.38
01/04/1981,11.29
01/05/1981,11.9
01/06/1981,11.43
01/07/1981,11.57
01/08/1981,12.12
01/09/1981,12.3
01/10/1981,12.1
01/11/1981,11.87
01/12/1981,11.28
01/01/1982,11.23
01/02/1982,10.98
01/03/1982,10.37
01/04/1982,10.17
01/05/1982,10.15
01/06/1982,10.53
01/07/1982,10.5
01/08/1982,10.24
01/09/1982,9.98
01/10/1982,9.73
01/11/1982,8.89
01/12/1982,8.4
01/01/1983,7.98
01/02/1983,8.2
01/03/1983,8.03
01/04/1983,8.46
01/05/1983,8.85
01/06/1983,9.22
01/07/1983,9.08
01/08/1983,9.03
01/09/1983,8.8
01/10/1983,8.53
01/11/1983,8.57
01/12/1983,8.58
01/01/1984,8.57
01/02/1984,8.56
01/03/1984,8.4
01/04/1984,8.45
01/05/1984,8.52
01/06/1984,8.68
01/07/1984,8.69
01/08/1984,8.5
01/09/1984,8.26
01/10/1984,7.94
01/11/1984,7.65
01/12/1984,7.72
01/01/1985,7.38
01/02/1985,7.89
01/03/1985,8.02
01/04/1985,7.7
01/05/1985,7.54
01/06/1985,7.35
01/07/1985,7.24
01/08/1985,6.92
01/09/1985,6.89
01/10/1985,7.03
01/11/1985,7.01
01/12/1985,6.96
01/01/1986,6.81
01/02/1986,6.84
01/03/1986,6.44
01/04/1986,6.15
01/05/1986,6.33
01/06/1986,6.29
01/07/1986,6.24
01/08/1986,6.01
01/09/1986,6.03
01/10/1986,6.18
01/11/1986,6.22
01/12/1986,6.27
01/01/1987,6.16
01/02/1987,6.18
01/03/1987,6.2
01/04/1987,6.12
01/05/1987,6.06
01/06/1987,6.28
01/07/1987,6.45
01/08/1987,6.6
01/09/1987,6.87
01/10/1987,7.08
01/11/1987,6.41
01/12/1987,6.42
01/01/1988,6.37
01/02/1988,6.2
01/03/1988,6.13
01/04/1988,6.19
01/05/1988,6.47
01/06/1988,6.52
01/07/1988,6.68
01/08/1988,6.72
01/09/1988,6.58
01/10/1988,6.28
01/11/1988,6.35
01/12/1988,6.5
01/01/1989,6.67
01/02/1989,6.97
01/03/1989,7.09
01/04/1989,7.08
01/05/1989,7.38
01/06/1989,7.2
01/07/1989,7.05
01/08/1989,7.05
01/09/1989,7.23
01/10/1989,7.43
01/11/1989,7.72
01/12/1989,7.75
01/01/1990,8.22
01/02/1990,8.78
01/03/1990,8.98
01/04/1990,8.89
01/05/1990,8.95
01/06/1990,8.96
01/07/1990,8.74
01/08/1990,8.99
01/09/1990,9.16
01/10/1990,9.19
01/11/1990,9.13
01/12/1990,9.06
01/01/1991,9.15
01/02/1991,8.64
01/03/1991,8.66
01/04/1991,8.57
01/05/1991,8.59
01/06/1991,8.64
01/07/1991,8.82
01/08/1991,8.84
01/09/1991,8.77
01/10/1991,8.72
01/11/1991,8.75
01/12/1991,8.72
01/01/1992,8.39
01/02/1992,8.3
01/03/1992,8.31
01/04/1992,8.31
01/05/1992,8.32
01/06/1992,8.3
01/07/1992,8.34
01/08/1992,8.36
01/09/1992,8.04
01/10/1992,7.65
01/11/1992,7.51
01/12/1992,7.4
01/01/1993,7.13
01/02/1993,6.87
01/03/1993,6.56
01/04/1993,6.6
01/05/1993,6.67
01/06/1993,6.59
01/07/1993,6.43
01/08/1993,6.18
01/09/1993,5.98
01/10/1993,5.83
01/11/1993,5.81
01/12/1993,5.68
01/01/1994,5.61
01/02/1994,5.87
01/03/1994,6.29
01/04/1994,6.54
01/05/1994,6.75
01/06/1994,7.11
