period,OECD_long_term_interest_rates
1959-01,4.43
1959-02,4.35
1959-03,4.36
1959-04,4.25
1959-05,4.28
1959-06,4.39
1959-07,4.49
1959-08,4.39
1959-09,4.44
1959-10,4.48
1959-11,4.45
1959-12,4.47
1960-01,4.56
1960-02,4.6
1960-03,4.51
1960-04,4.49
1960-05,4.56
1960-06,4.49
1960-07,4.39
1960-08,4.4
1960-09,4.41
1960-10,4.35
1960-11,4.36
1960-12,4.34
1961-01,4.34
1961-02,4.3
1961-03,4.26
1961-04,4.12
1961-05,4.05
1961-06,4.09
1961-07,4.14
1961-08,4.23
1961-09,4.15
1961-10,4.14
1961-11,4.18
1961-12,4.15
1962-01,4.08
1962-02,4.02
1962-03,4.15
1962-04,4.22
1962-05,4.29
1962-06,4.45
1962-07,4.44
1962-08,4.26
1962-09,4.2
1962-10,4.25
1962-11,4.26
1962-12,4.21
1963-01,4.22
1963-02,4.25
1963-03,4.2
1963-04,4.16
1963-05,4.2
1963-06,4.25
1963-07,4.27
1963-08,4.23
1963-09,4.23
1963-10,4.41
1963-11,4.59
1963-12,4.7
1964-01,4.83
1964-02,4.82
1964-03,4.88
1964-04,4.9
1964-05,4.93
1964-06,5.01
1964-07,5.32
1964-08,5.38
1964-09,5.13
1964-10,5.2
1964-11,5.32
1964-12,5.35
1965-01,5.16
1965-02,5.07
1965-03,5.12
1965-04,5.21
1965-05,5.39
1965-06,5.48
1965-07,5.64
1965-08,5.56
1965-09,5.54
1965-10,5.76
1965-11,5.99
1965-12,6.09
1966-01,6.17
1966-02,6.31
1966-03,6.44
1966-04,6.5
1966-05,6.77
1966-06,6.73
1966-07,6.59
1966-08,6.79
1966-09,6.65
1966-10,6.65
1966-11,6.73
1966-12,6.67
1967-01,6.45
1967-02,6.53
1967-03,6.42
1967-04,6.33
1967-05,6.38
1967-06,6.49
1967-07,6.44
1967-08,6.41
1967-09,6.38
1967-10,6.38
1967-11,6.49
1967-12,6.39
1968-01,6.44
1968-02,6.48
1968-03,6.51
1968-04,6.45
1968-05,6.47
1968-06,6.53
1968-07,6.59
1968-08,6.58
1968-09,6.51
1968-10,6.52
1968-11,6.55
1968-12,6.6
1969-01,6.72
